firm_id,canonical_name,display_name,aliases
16058,greenworld food express,GREENWORLD FOOD EXPRESS (USA) LLC,GREENWORLD FOOD EXPRESS (USA) LLC
7588,groupe seb usa dba rowenta usa of parsippany new jersey,"Groupe SEB USA dba Rowenta USA, of Parsippany, New Jersey","Groupe SEB USA dba Rowenta USA, of Parsippany, New Jersey"
17296,haleon us holdings,Haleon US Holdings LLC,Haleon US Holdings LLC
9273,harbinger motors,Harbinger Motors Inc.,Harbinger Motors Inc.
8557,harbor freight tools,Harbor Freight Tools,HARBOR FREIGHT TOOLS|Harbor Freight Tools
7641,heartland recreational vehicles,"Heartland Recreational Vehicles, LLC","HEARTLAND RECREATIONAL VEHICLES, LLC|Heartland Recreational Vehicles, LLC"
7610,honda american honda motor,Honda (American Honda Motor Co.),HONDA (AMERICAN HONDA MOTOR CO.)|Honda (American Honda Motor Co.)
23,hormel foods,Hormel Foods Corporation,Hormel Foods Corporation
7558,hsn inc of west chester pennsylvania,"HSN, Inc., of West Chester, Pennsylvania","HSN, Inc., of West Chester, Pennsylvania"
7543,huizhou huitong crafts co ltd of china,"Huizhou Huitong Crafts Co. Ltd., of China","Huizhou Huitong Crafts Co. Ltd., of China"
7688,hyundai motor america,Hyundai Motor America,HYUNDAI MOTOR AMERICA|Hyundai Motor America
7577,idecoz inc dba flaunt of brooklyn new york and case mate of atlanta georgia,"iDecoz Inc. dba Flaunt, of Brooklyn, New York and Case-Mate, of Atlanta, Georgia","iDecoz Inc. dba Flaunt, of Brooklyn, New York and Case-Mate, of Atlanta, Georgia"
20048,indmar,INDMAR,INDMAR
17498,inventia healthcare,Inventia Healthcare Limited,Inventia Healthcare Limited
7620,jayco,"Jayco, Inc.","JAYCO, INC.|Jayco, Inc."
6642,jomani international inc of monterey park california,"Jomani International Inc., of Monterey Park, California","Jomani International Inc., of Monterey Park, California"
7546,joolz usa inc of new york new york,"Joolz USA Inc., of New York, New York","Joolz USA Inc., of New York, New York"
7559,joyin us corp of chandler arizona,"Joyin US Corp., of Chandler, Arizona","Joyin US Corp., of Chandler, Arizona"
20886,kao,KAO USA,KAO USA
20046,key largo boats,KEY LARGO BOATS LLC,KEY LARGO BOATS LLC
7820,kia america,"Kia America, Inc.","Kia America, Inc."
7536,kith retail inc of brooklyn new york,"Kith Retail Inc. of Brooklyn, New York","Kith Retail Inc. of Brooklyn, New York"
20,la guadalupana,La Guadalupana,La Guadalupana
